schemas/time-stamp-schema.js::program	0	this	schemas/time-stamp-schema.js::program	
schemas/time-stamp-schema.js::program:test	0	this	schemas/time-stamp-schema.js::program	
schemas/time-stamp-schema.js::program:test	1	value	ANY	
schemas/time-stamp-schema.js::program:<lambda>1	0	this	schemas/time-stamp-schema.js::program	
schemas/time-stamp-schema.js::program:<lambda>1	1	value	ANY	
schemas/time-stamp-schema.js::program:<lambda>2	0	this	schemas/time-stamp-schema.js::program	
schemas/time-stamp-schema.js::program:test	0	this	schemas/time-stamp-schema.js::program	
schemas/time-stamp-schema.js::program:test	1	value	ANY	
schemas/time-stamp-schema.js::program:<lambda>4	0	this	schemas/time-stamp-schema.js::program	
schemas/time-stamp-schema.js::program:<lambda>4	1	value	ANY	
schemas/time-stamp-schema.js::program:<lambda>5	0	this	schemas/time-stamp-schema.js::program	
schemas/user-schema.js::program	0	this	schemas/user-schema.js::program	
schemas/user-schema.js::program:test	0	this	schemas/user-schema.js::program	
schemas/user-schema.js::program:test	1	value	ANY	
seeds/01-users.js::program:getUsers:<lambda>0	0	this	seeds/01-users.js::program	
seeds/01-users.js::program:getUsers:<lambda>0	1	u	{ name: __ecma.String; id: __ecma.String; email?: ANY; } | { name: __ecma.String; email: __ecma.String; id: __ecma.Strin	
seeds/01-users.js::program:getUsers	0	this	seeds/01-users.js::program	
seeds/01-users.js::program	0	this	seeds/01-users.js::program	
seeds/01-users.js::program:<lambda>1:<lambda>2	0	this	seeds/01-users.js::program	
seeds/01-users.js::program:<lambda>1:<lambda>2	1	u	{ name: __ecma.String; id: __ecma.String; email?: ANY; } | { name: __ecma.String; email: __ecma.String; id: __ecma.Strin	
seeds/01-users.js::program:seed	0	this	seeds/01-users.js::program	
seeds/01-users.js::program:seed	1	knex	ANY	
seeds/02-articles.js::program:getArticles:<lambda>0:<lambda>1	0	this	seeds/02-articles.js::program	
seeds/02-articles.js::program:getArticles:<lambda>0	0	this	seeds/02-articles.js::program	
seeds/02-articles.js::program:getArticles:<lambda>0	1	user	ANY	
seeds/02-articles.js::program:getArticles	0	this	seeds/02-articles.js::program	
seeds/02-articles.js::program:getArticles	1	users	ANY	
seeds/02-articles.js::program	0	this	seeds/02-articles.js::program	
seeds/02-articles.js::program:<lambda>2:<lambda>3	0	this	seeds/02-articles.js::program	
seeds/02-articles.js::program:<lambda>2:<lambda>3	1	u	{ id: __ecma.String; email: __ecma.String; username: __ecma.String; password: ANY; bio: ANY; image: ANY; created_at: __e	
seeds/02-articles.js::program:seed	0	this	seeds/02-articles.js::program	
seeds/02-articles.js::program:seed	1	knex	ANY	
seeds/02-articles.js::program:<lambda>2:<lambda>4	0	this	seeds/02-articles.js::program	
seeds/02-articles.js::program:<lambda>2:<lambda>4	1	a	ANY	
