package_name	version	tarball_url	source_tree_sha256	tarball_sha256	selection_reason	binding_family	size_bucket	prior_status	n_cpp_files
nlpplus	1.3.24	https://registry.npmjs.org/nlpplus/-/nlpplus-1.3.24.tgz	510ce6c836b11e261e4e4668effc9d002a8bfe40b9b977a1c92c53a594f452ee	5d3279a9a7d19ec823cc91766384056afbb9a895ab2ce7dbe8929776871847f6	stratified_coverage	none	large	ANALYZED	340
@2060.io/ref-napi	3.0.6	https://registry.npmjs.org/@2060.io/ref-napi/-/ref-napi-3.0.6.tgz	c4a514eead12cbeddf2c798bed521cacbdf0521470b33201c2d074a3d09cca65	2d1f646713c0c73495ec5593c983076c036775618f82abe2ac1f06986032bc82	stratified_fill	none	small	ANALYZED	1
@8crafter/leveldb-zlib	1.6.0	https://registry.npmjs.org/@8crafter/leveldb-zlib/-/leveldb-zlib-1.6.0.tgz	4e1f65952c186382731a6c12321d8c7a0a024b36283dce66b7b4ae534017692b	8f2213a074ae4312a03ac9137811bdd3eaa07ccb8af48420b5a08edd02460412	stratified_fill	none	large	ANALYZED	83
@abandonware/bluetooth-hci-socket	0.5.3-12	https://registry.npmjs.org/@abandonware/bluetooth-hci-socket/-/bluetooth-hci-socket-0.5.3-12.tgz	93e4754895fedd4fbbf3f73cf93937766b77b53c2e22f6742196cac92f593888	f83c06e00c56963bdbd27a87f7a370ab217d0cf43609699eb31afbb4c2c3a106	stratified_fill	none	small	ANALYZED	1
@acomsys/dash-utils	0.0.17	https://registry.npmjs.org/@acomsys/dash-utils/-/dash-utils-0.0.17.tgz	a5074873dc344795969bcd38535b9215463af730aba602f659cb87c101de4124	f4b18b6911c403fd89f9779b5ae0d65099f5a754cb5c0271dbad117e4e7a4683	stratified_fill	node-addon-api	medium	ANALYZED	4
@adhdev/ghostty-vt-node	1.0.46	https://registry.npmjs.org/@adhdev/ghostty-vt-node/-/ghostty-vt-node-1.0.46.tgz	abe81689d58133ef2ce883fb4dc81837dc43d0b9d16cb5ff9936efb159572caa	259804474a1e77339df1d7ed660aa136cf2e1cb2b97512faf1f3e3f640f40838	stratified_fill	node-addon-api	small	ANALYZED	2
@ampretia/x509	0.4.10	https://registry.npmjs.org/@ampretia/x509/-/x509-0.4.10.tgz	782b64441ffe7ff58a3554e8c529d90c7ddcfc1b5100a9d490e9c95048be9f1f	2b2371ce6a28a48b17c6d37d694c85c44735ee77780466119f1fe7cd984b33f3	stratified_fill	none	small	ANALYZED	2
@antcube/capnp	0.5.52	https://registry.npmjs.org/@antcube/capnp/-/capnp-0.5.52.tgz	5fa46dad3bb02e350ef62003761b062d54897922414551fb01bc8f1f55c71e5d	c0f6a67cf0cd0107a82674aa66982ba4d0ecfbda81fb6c24962987cfeda0453a	stratified_fill	none	medium	ANALYZED	6
@appthreat/sqlite3	9.0.1	https://registry.npmjs.org/@appthreat/sqlite3/-/sqlite3-9.0.1.tgz	036aab492cf559ef891f3b04e918893f5eab1e85928c89f99c4744aafe111f12	9fdf8c792d6547595adb8cccf5148fc430590f4887eb447f63b0609a6f8769cd	stratified_fill	none	medium	ANALYZED	10
@archwayhq/keyring-go	0.2.1	https://registry.npmjs.org/@archwayhq/keyring-go/-/keyring-go-0.2.1.tgz	16b25e0775f25d087a4b6537d05076de8bc53a11a628a47a677e9cb2f42e26da	9ac661e9b0882ef479ea089f74296793e79d86ff5225f8bf9f9d8f5f69484750	stratified_fill	node-addon-api	small	ANALYZED	1
@astronautlabs/webrtc	0.6.1	https://registry.npmjs.org/@astronautlabs/webrtc/-/webrtc-0.6.1.tgz	5b8b4e25d5d377c777bc22b60b233ee9dcd3937f08d61c908b3cfb61ecc397a0	e89540ead8bdd495ea1b855ea65b273102f88196f10bb7053d1c05cd9288c811	stratified_fill	node-addon-api	large	RESOURCE_LIMIT	91
@automattic/yara	2.6.3	https://registry.npmjs.org/@automattic/yara/-/yara-2.6.3.tgz	5cb3529895f37f167766e58da4f19beec227463e369c13837e7ec9e79741d6d7	7ca6f43f7ce43068ce1b45bd5799125f82c1e673e1aff880a125b78604742f37	stratified_fill	none	small	ANALYZED	1
@breush/ffi-napi	4.0.13	https://registry.npmjs.org/@breush/ffi-napi/-/ffi-napi-4.0.13.tgz	d35f374baf49a700439a984fb5d7b9d5b3b9430e165552f945720b7d3c317bfc	140a3b40474e219abe2c7c1ef836a95987ec52e4dcb670b242d1f5f125d32e6c	stratified_fill	node-addon-api	large	ANALYZED	325
@breush/ref-napi	4.0.9	https://registry.npmjs.org/@breush/ref-napi/-/ref-napi-4.0.9.tgz	4577f9a69a1260390ef33a53969ddedad2c26a7d7bc436e2cd903673ae5dd59d	8fd187d801174394420f405c2f3ddbd136b27de54f0a39103a53e804f26fdb24	stratified_fill	node-addon-api	small	ANALYZED	1
@brick-a-brack/napi-canon-cameras	0.1.5	https://registry.npmjs.org/@brick-a-brack/napi-canon-cameras/-/napi-canon-cameras-0.1.5.tgz	09bec5757e4413ea2e8a65dde3fe2377b8efc03e621bbc2a15ebbc6e9e9097db	7b38a06b21a67ae27e64e2d43d8d29642d7d997c87b4667aa3d4d7598a68f5ec	stratified_fill	node-addon-api	large	ANALYZED	25
