eligible corpus rows (frozen order): 494
[160/494] @stdlib/math-base-napi-quaternary@0.2.4: export=True regex_literals=1 dangerous=0 qualifies=False
[161/494] @jellybrick/ffi-napi@4.0.18: export=True regex_literals=31 dangerous=0 qualifies=False
[162/494] @breush/ffi-napi@4.0.13: export=True regex_literals=4 dangerous=0 qualifies=False
[163/494] ref-array-di@1.2.2: export=True regex_literals=0 dangerous=0 qualifies=False
[164/494] selection-hook@2.1.0: export=True regex_literals=37 dangerous=0 qualifies=False
[165/494] napi-thread-safe-callback-cancellable@0.0.7: export=True regex_literals=0 dangerous=0 qualifies=False
[166/494] smart-whisper@0.8.1: export=True regex_literals=14 dangerous=0 qualifies=False
[167/494] @lwahonen/ffi-napi@4.0.12: export=True regex_literals=4 dangerous=0 qualifies=False
[168/494] @makeomatic/ref-napi@3.0.6: export=True regex_literals=3 dangerous=0 qualifies=False
[169/494] @stdlib/napi-argv-strided-complex64array@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[170/494] @stdlib/napi-argv-strided-complex128array@0.3.3: export=True regex_literals=1 dangerous=0 qualifies=False
[171/494] @stdlib/assert-napi-has-property@0.0.3: export=True regex_literals=1 dangerous=0 qualifies=False
[172/494] @stdlib/napi-argv-complex64@0.0.3: export=True regex_literals=1 dangerous=0 qualifies=False
[173/494] @stdlib/napi-argv-complex128@0.1.1: export=True regex_literals=1 dangerous=0 qualifies=False
[174/494] @sentry/node-native-stacktrace@0.5.2: export=True regex_literals=2 dangerous=0 qualifies=False
[175/494] @stdlib/napi-argv-uint8array@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[176/494] napi-ldap@1.0.4: export=True regex_literals=3 dangerous=0 qualifies=False
[177/494] interruptor@2.0.1: export=True regex_literals=0 dangerous=0 qualifies=False
[178/494] numbl@0.4.19: export=True regex_literals=1765 dangerous=6 qualifies=True
[179/494] @breush/ref-napi@4.0.9: export=True regex_literals=3 dangerous=0 qualifies=False
[180/494] @sentry-internal/node-native-stacktrace@0.5.0: export=True regex_literals=2 dangerous=0 qualifies=False
[181/494] @stdlib/napi-argv-strided-uint8array@0.2.3: export=True regex_literals=1 dangerous=0 qualifies=False
[182/494] ref-union-di@1.0.1: export=True regex_literals=1 dangerous=0 qualifies=False
[183/494] ref-array-napi@1.2.2: export=True regex_literals=1 dangerous=0 qualifies=False
[184/494] @tigerconnect/ffi-napi@4.0.3-tc3: export=True regex_literals=40 dangerous=0 qualifies=False
[185/494] native-machine-id@0.3.11: export=True regex_literals=2 dangerous=0 qualifies=False
[186/494] @jellybrick/ref-napi@4.0.10: export=True regex_literals=3 dangerous=0 qualifies=False
[187/494] @louislam/sqlite3@15.1.6: export=True regex_literals=0 dangerous=0 qualifies=False
[188/494] @stdlib/napi-argv-strided-float64array2d@0.1.1: export=True regex_literals=1 dangerous=0 qualifies=False
[189/494] @stdlib/napi-argv-strided-float32array2d@0.1.1: export=True regex_literals=1 dangerous=0 qualifies=False
[190/494] @stdlib/napi-create-complex-like@0.1.1: export=True regex_literals=1 dangerous=0 qualifies=False
[191/494] @stagetimerio/grandiose@0.2.0: export=True regex_literals=2 dangerous=0 qualifies=False
[192/494] @cherrystudio/mac-system-ocr@0.2.7: export=True regex_literals=0 dangerous=0 qualifies=False
[193/494] node-lzma7z@0.1.3: export=True regex_literals=0 dangerous=0 qualifies=False
[194/494] @ssxv/node-printer@1.1.1: export=True regex_literals=0 dangerous=0 qualifies=False
[195/494] memcore@1.0.2: export=True regex_literals=6 dangerous=0 qualifies=False
[196/494] hidraw-native@0.2.2: export=True regex_literals=0 dangerous=0 qualifies=False
